time,T_Cu1,T_Cu2,T_Inco1,T_H25,T_Inco2,T_Cu3,T_Cu4
18,150.006236032878,145.973615448195,125.282648068875,74.4206217056119,48.6095947138862,26.2585152937684,24.9990641364684
19,150.004383109943,145.98086508432,125.295799248674,74.4399041132161,48.6215102312555,26.2599696679639,24.9995222864839
20,150.006892386396,145.983156985988,125.308866667465,74.4587222382933,48.6339500827513,26.261552196784,25.0005652610792
21,150.002336110487,145.983446502455,125.314744470931,74.4817278924876,48.6486988514301,26.2616840999151,25.0007071801824
22,149.993035675179,145.981923647878,125.324731660388,74.4962059897547,48.6555259732181,26.2617054038771,25.0004844690375
23,150.005236939588,145.990476699687,125.337831580216,74.5161062404547,48.6666264152445,26.2622834697232,24.9987745056307
24,150.006509898716,145.988522415466,125.34195676195,74.5280343652647,48.6754402927371,26.2633240394504,25.000858033345
25,150.002681027323,145.987868121378,125.357053392931,74.5456645521993,48.6865538419568,26.2638499298969,25.0010558299945
26,150.003866101959,145.998355459787,125.366703289859,74.556929161669,48.6932112446556,26.2642573888163,25.0006773855517
27,150.003646987022,145.999234376892,125.370803649328,74.5733068309039,48.7058033507366,26.2653224645597,24.9988566496398
28,149.998383405293,145.996183235395,125.372844288668,74.5855217753491,48.7102463303237,26.2663211917668,24.9996954653426
29,150.002332168353,145.998854845968,125.382380389115,74.5946596150995,48.7171880728986,26.265973382395,25.0005108490612
30,149.995067800317,145.99986870202,125.382591750468,74.6047864537777,48.7252871482558,26.2664491154651,25.0005737826138
31,150.00309069132,145.995781813573,125.398464934715,74.6198116803073,48.7326999906534,26.2660877493865,24.9993106926767
32,149.992977492696,145.998521879299,125.403684844313,74.6311768334227,48.7373119815227,26.2662394641264,24.9994226368294
33,149.996653844774,146.002302129222,125.408172504077,74.6361845151665,48.747676613378,26.2673313991388,25.0004325779125
34,149.993192570859,146.000026415258,125.406175479893,74.6478941153942,48.7501380517745,26.2677765308176,24.9999437304943
35,149.993956976719,146.010158593931,125.415087331105,74.6548244835064,48.7553660866533,26.2690134528221,25.0003092910317
36,150.004851867425,146.001783758758,125.41239612991,74.6659869955249,48.7593344009148,26.270145448713,24.9993411123316
37,150.002922429345,146.003289511339,125.421693859434,74.6732901549058,48.7653347733384,26.2704076555285,24.9991928093862
38,149.997256492201,146.003479204593,125.42430694559,74.6761768657326,48.7687017874846,26.2694537007298,25.0008241084642
39,150.006753330733,146.005254581273,125.426224311831,74.6883592040754,48.7752964474686,26.2691681581266,25.0006673041698
40,149.993016691208,146.009186501475,125.430056030587,74.6959435271333,48.7806734947116,26.270813863373,25.0010861956828
41,149.999081165395,146.008214908708,125.436544286909,74.6986750599435,48.7839504530274,26.2710584197782,24.9990197222627
42,149.998223376856,146.017958196452,125.435668758007,74.7073928188892,48.7850187482954,26.271252521496,24.999205568764
43,150.003982751822,146.011518625467,125.445072233252,74.7108235643724,48.7884894250283,26.2714909899764,24.9989977382061
44,150.004427998517,146.008657112543,125.446388327737,74.712935572469,48.7952185440398,26.2700339572739,24.9999744095048
