time,T_Cu1,T_Cu2,T_Inco1a,T_Inco1,T_H25a,T_H25b,T_Inco2,T_Inco2a,T_Cu3,T_Cu4
20,150.006892386396,145.572565512836,136.201829179166,121.898983834311,80.0360152516774,72.1393514480636,49.1014004710476,34.8687183167672,26.3614726928396,24.9998376017947
21,150.002336110487,145.547767670437,136.127112183243,121.769787633101,80.2284571400132,72.2886160807952,49.2210229847507,34.9180139787127,26.3673071001205,24.998978782918
22,149.993035675179,145.521346156638,136.058663324498,121.63141927696,80.4066013814868,72.4363158631364,49.3398026390406,34.9658454815093,26.3752582625497,25.000286567395
23,150.005236939588,145.505215637509,135.995423754002,121.506569484954,80.5903727777009,72.5841010946941,49.4553261648578,35.0157088075607,26.3806665409294,24.9987774477307
24,150.006509898716,145.478913574825,135.924293130307,121.373266946249,80.768766905596,72.7315549392431,49.5778795987242,35.0643542184879,26.3895538667993,25.0001831509582
25,150.002681027323,145.454253455435,135.866905086654,121.253668190052,80.949246153912,72.8758326536703,49.6960831352051,35.1114605411527,26.3966397704724,25.0007243246451
26,150.003866101959,145.441074115754,135.80544286277,121.127993707614,81.1204588409002,73.017908212217,49.8123927152127,35.1617751031142,26.4036710280126,24.9993384169329
27,150.003646987022,145.418730488437,135.739782739564,121.01476246011,81.2996043188357,73.1598413101839,49.9249605551412,35.21105452668,26.4106803337657,24.9998700492837
28,149.998383405293,145.392903239912,135.673680961046,120.898763961152,81.4631009956524,73.2995389905832,50.0418819269051,35.2588775778253,26.4161959252965,25.0001733954582
29,150.002332168353,145.373221058727,135.617440341104,120.781631423646,81.6286417108104,73.4333532557582,50.1577284002943,35.306257796334,26.4223235594159,24.9989035036057
30,149.995067800317,145.352344044282,135.552824257469,120.669810932069,81.7939409079793,73.5672873362702,50.2709631211551,35.3557634322749,26.4285682573592,24.9999907222141
31,150.00309069132,145.326851965856,135.506803781492,120.569469131024,81.9558629627443,73.6966521059971,50.3803600053152,35.4024640294188,26.4362854149009,25.0003557880865
32,149.992977492696,145.30862097936,135.450885639194,120.466625099304,82.1108032784519,73.8251986322507,50.4913062437919,35.4491557948704,26.4430727872423,24.9993031643253
33,149.996653844774,145.291889116109,135.395748214149,120.356807999074,82.2731464133662,73.9541149631161,50.6028124787622,35.4936039608188,26.450059950732,25.0008426411138
34,149.993192570859,145.269592323499,135.335135003776,120.260951205574,82.4198375269714,74.0789250327256,50.7099942018982,35.5400222096387,26.4547125485466,25.0011776880786
35,149.993956976719,145.260096946803,135.287767319064,120.16041331921,82.5688665484025,74.203676992728,50.8175875672852,35.5861309708529,26.4626247749515,25.0008659322192
36,150.004851867425,145.232639161685,135.229305868509,120.069579627566,82.713422867422,74.3258446204358,50.9211246822798,35.6309296038394,26.4685510297865,25.0000149986397
37,150.002922429345,145.215452287587,135.185144080629,119.975309009236,82.8590904610186,74.44326469356,51.0249680779851,35.674020224216,26.4738697482889,24.9994471890279
38,149.997256492201,145.197388285232,135.135097498304,119.876605547717,82.9979525243918,74.5549534386971,51.1310791799199,35.7158517421806,26.4820605225567,25.0006165430546
39,150.006753330733,145.18132270858,135.085575734483,119.79536703844,83.1399888527957,74.6662671314884,51.2321611772221,35.7603680097873,26.4872200934045,24.9993423259603
40,149.993016691208,145.167811587663,135.039341677858,119.709181403482,83.277650930562,74.7808282076615,51.333042072543,35.800638840756,26.4928261340965,25.001143363204
41,149.999081165395,145.149824177223,134.997144997232,119.617554799898,83.4094382677467,74.8891834301159,51.4274311721117,35.8436212206203,26.5000784552412,25.0003006500902
42,149.998223376856,145.1428751978,134.94815693501,119.537749326726,83.5351698787239,74.9951965034771,51.5250666241506,35.885769145612,26.5051652403782,25.0002506553638
43,150.003982751822,145.120215546389,134.911315869341,119.451623312703,83.6627600807902,75.099165498852,51.6205160590033,35.9273728035039,26.5103895013647,24.9991815112541
44,150.004427998517,145.101476672479,134.866822140762,119.365445198402,83.7937229038311,75.1961403752344,51.7170470942133,35.9670085350475,26.5171028178868,24.9989758668454
45,149.995303089068,145.097060308805,134.827925667242,119.286498346872,83.9174376046444,75.3000970893374,51.8086672327241,36.0053433511214,26.5218941556649,24.9993881555066
46,149.999846465937,145.083585451377,134.786858434926,119.210941281204,84.0345088519786,75.3959713722893,51.9041209609033,36.0452695712985,26.527476798659,25.0008964263281
47,149.999183793011,145.06147225613,134.745692515421,119.138389261792,84.1487167305525,75.4895217252905,51.9904571477339,36.0824302119282,26.5332588860403,25.0010276676335
48,150.002194695152,145.042736203001,134.697957381886,119.064029561879,84.2701707435654,75.5820707010081,52.0793224616399,36.1222638826604,26.5377975060701,25.0004990844181
49,150.003140472463,145.031160399612,134.65957204528,118.989630794302,84.3791627152967,75.6789662072305,52.1698448902568,36.1596044744387,26.5427489639708,25.0005629558876
50,150.00382030023,145.019903179312,134.624787081599,118.911302720124,84.4896214698422,75.7635066620414,52.2575298157275,36.1958941788339,26.5488644055223,24.9993247151971
51,149.996640376155,145.009416638808,134.590140978649,118.842352513403,84.6020547535643,75.8509458462439,52.3404085303065,36.2303716723517,26.5547666547825,25.0001901336408
52,150.002695540153,144.991653452243,134.554961942203,118.766727883143,84.7022527846722,75.9404026900164,52.4237414054266,36.2662767845892,26.5586068979201,25.0007765702625
53,150.00232647006,144.983891401096,134.515424550922,118.697761489189,84.8068667092001,76.0259388468825,52.5073726430841,36.3006634951622,26.562812903347,24.999759608421
54,149.994939176028,144.972991456582,134.485356647452,118.629911182644,84.9143292416636,76.1050573057637,52.5882686071159,36.3372413393473,26.5686065572808,25.001221098168
55,149.994284965223,144.953646997171,134.44895716555,118.569245096845,85.0139460064721,76.1866968380659,52.6702206102494,36.3717150917536,26.5730659097518,24.9989749970375
56,149.99997546078,144.940100286225,134.417849867088,118.500980622903,85.1114516831737,76.2610005383179,52.7515033705972,36.4054412518805,26.5781042881784,24.9995523525816
57,150.006896159378,144.930870589536,134.378043013376,118.432250079837,85.2093938346297,76.343900263111,52.8280712685996,36.4372653904496,26.5839514642219,25.000028522347
58,149.9976057859,144.919562367842,134.341867749625,118.371697477734,85.3034985412247,76.4158908795281,52.9021695147711,36.4700446186304,26.5874384192276,24.9989015159164
59,150.001279016265,144.909653527261,134.306020853509,118.304332976624,85.3965571925277,76.4904738952341,52.9794630828094,36.5005545246183,26.5919635249913,25.0005642198089
60,149.995857179092,144.899615975476,134.280397820892,118.240870290025,85.4829373195464,76.5574889951688,53.052337927727,36.5349776943315,26.596377990297,25.0001413893714
61,150.00376900589,144.882425975179,134.250714266474,118.188765444317,85.5752056851131,76.6337979862641,53.1282824507245,36.5645542923103,26.6002195293514,25.0000733997562
62,149.996326426732,144.874093066218,134.214465807488,118.124655349706,85.6611054259289,76.7022157893494,53.2004216154171,36.5944219116427,26.6049005225039,25.0008249560801
63,150.000089355775,144.871165405435,134.178968200115,118.069138174801,85.7450880038678,76.764797472476,53.2748984090622,36.6272791670896,26.6087374371134,25.0008968975852
64,150.00298615084,144.849417920678,134.150721397087,118.007295849791,85.8259003619937,76.833868379302,53.344345668456,36.6566553444825,26.613884323125,25.0007225723083
65,150.005863548788,144.852038930253,134.119021491632,117.94762115783,85.914129208509,76.8968916136655,53.4120342492584,36.6865423092717,26.6175996800632,24.9995445826343
66,150.006889371378,144.838904774168,134.090947183908,117.892771620187,85.9907931957884,76.9617688324053,53.4826582176957,36.7133727369456,26.621819641611,24.9998805186344
67,150.000708232949,144.82529250674,134.063690149665,117.836647040249,86.0720315746218,77.022470972446,53.5460745579314,36.7434064553614,26.6262117882673,25.0006305699251
68,149.994579366642,144.8166258835,134.035848168824,117.781766313726,86.1505766369252,77.0831238089388,53.6139396510511,36.7715740439083,26.6293925740074,24.9990246542644
69,149.994739410083,144.801853838784,134.006275361705,117.714636312366,86.2210030930464,77.140565202233,53.6824026779367,36.7973818962661,26.634330870162,24.9990243559215
70,149.996362623812,144.795365669154,133.983596953384,117.669987643716,86.2956634040138,77.1991414080228,53.7470147574277,36.8258359606136,26.6387748704261,24.9994247091593
71,150.00511075884,144.793099843172,133.950882021499,117.612829729287,86.3723523797232,77.2541093556277,53.8096830954215,36.8523714108377,26.6413676117186,25.0000615933635
72,149.996314232685,144.77763226538,133.928995020858,117.563714329417,86.4434654178868,77.3166842594369,53.8720522042691,36.8806431347685,26.6465818852856,25.0011816276924
73,150.004714272391,144.767942918177,133.897643797531,117.505343923422,86.5172910272828,77.3690329623279,53.9325851838435,36.9053185805112,26.6484055593417,25.0005260217132
