time,T_Cu1,T_Cu2,T_Inco1a,T_Inco1,T_H25a,T_H25b,T_Inco2,T_Inco2a,T_Cu3,T_Cu4
105,149.994984730942,144.567397255209,133.390160897358,116.664930548474,87.8656756652276,78.519845100416,55.2207668754191,37.4798000049508,26.7337803748108,25.0007626580714
106,150.001529729121,144.564325036728,133.396546734459,116.665983118126,87.866993427803,78.5256755492431,55.2254753985241,37.4834301357779,26.7326366689617,24.9998784371368
107,149.996444569268,144.565564037687,133.393676159297,116.675548148344,87.8745184434295,78.5297997594467,55.2261541835878,37.4827061283607,26.7333112292777,24.9997066155739
108,150.002311186477,144.570124467467,133.403491329992,116.676256589831,87.8815255899628,78.5333626540154,55.2316381088119,37.4842061240245,26.7349766766273,25.0007241092592
109,150.002838217547,144.570351567367,133.39925942094,116.679378974016,87.883929383735,78.5376050526027,55.2357965521774,37.4859656163178,26.73514292291,24.9996607171738
110,150.003722273892,144.567996084461,133.410502143345,116.684044935336,87.8924903638051,78.5455710051003,55.2380117929371,37.4878345941691,26.7341724602625,25.0000808748375
111,149.999258123978,144.56320215333,133.403968099631,116.686845991793,87.8957465768187,78.5482775650074,55.2438074274437,37.4899121990127,26.7341753649084,25.000529141765
112,149.99375732067,144.564875492126,133.412585389387,116.69062913402,87.8971890556745,78.556830575177,55.2475746502884,37.4912163495274,26.7351672624474,25.000928691295
113,149.995934654531,144.575024836695,133.406769801766,116.692015885131,87.9068364957382,78.5580824590116,55.2472096591694,37.4914346343721,26.7361756190566,24.9995717240292
114,150.006200060423,144.563379946038,133.409860334128,116.701846181415,87.9047138438467,78.5655892195292,55.2523364668834,37.4946432226206,26.7363627952592,25.0003752950635
115,149.994785670285,144.570762188587,133.408910242266,116.700468403618,87.9100532786159,78.5683263606105,55.2515447513829,37.494131545293,26.7356927429905,25.00118709037
116,150.004887254662,144.566781295635,133.416955861092,116.706050243882,87.9129793230838,78.5704131491125,55.2577458810992,37.4954098245647,26.7351684151388,24.9989399184032
117,150.000575136529,144.579138280676,133.419868376389,116.710312515887,87.9187825743272,78.5704863534878,55.2560888660951,37.4982491570716,26.7367181977788,25.0002175479177
118,150.007442020749,144.575892514657,133.419440804284,116.71031750566,87.9179528127561,78.5796027591186,55.2606437694359,37.5000663902227,26.7357690845769,24.9997847162444
119,149.993672632931,144.573389832012,133.41914455841,116.712904913258,87.9235667344441,78.576972377841,55.2613647498641,37.5014019614427,26.7371441994174,24.9995228410662
120,149.999140174047,144.573498217513,133.423302725858,116.713880511053,87.9236116985285,78.5847951425884,55.2656326857435,37.5007404561904,26.73494675144,24.9994095851038
121,149.994099791553,144.568052094309,133.424513258833,116.712045504365,87.9262059470739,78.5817747204229,55.2656831291534,37.5031389191699,26.7364055014931,25.0006469156627
122,150.006928471213,144.577523582739,133.426032570187,116.718125004257,87.9344964471209,78.5852921981565,55.267227798698,37.5022300208148,26.737014272968,25.0012380399528
123,149.992569513362,144.568724030575,133.426492232382,116.7240551516,87.9324030202695,78.5852467249096,55.2708965885877,37.5027962876673,26.7356877465209,24.9992164286104
124,150.004123656971,144.569564406085,133.431596456453,116.725897716973,87.9372550475279,78.5916628174889,55.2694383625584,37.5027705719468,26.7362113981256,25.0007028631713
125,150.00475954831,144.576469926662,133.422692512218,116.720356788704,87.9424135742686,78.5900027634178,55.2713233155291,37.5037709683175,26.7359106826357,24.9992394949526
126,150.00553042058,144.570700343853,133.430234371146,116.721051842322,87.9396041199758,78.5907737782352,55.2754378631292,37.5045936748216,26.7363609809453,25.001230897433
127,149.993766537683,144.581482531261,133.42473800323,116.726547268274,87.9436691542259,78.5978320889968,55.2715440092538,37.5035716806019,26.7366661009727,25.0007556539244
128,149.998496739736,144.58180562571,133.42394700842,116.728682564607,87.9458816465046,78.5965059758409,55.277815823974,37.5071581222871,26.7371340094265,24.9998105667748
129,149.996398056043,144.580743155267,133.431180283593,116.727258725968,87.9445776347609,78.6004989857895,55.2745448827383,37.5045635465954,26.735873847765,25.0005721596701
130,150.004501027203,144.57275944596,133.429764197181,116.725908405664,87.9480042889419,78.5997652699801,55.2781855122521,37.5064206717568,26.737293125444,24.9999958839563
131,149.998971207412,144.580406505607,133.430520027771,116.735617430142,87.9445852489826,78.6030359099326,55.2786797028084,37.5083214260133,26.7366175684516,25.000772475668
132,150.006159713916,144.57862904397,133.433835428119,116.726496961613,87.9531318820597,78.5995521516799,55.2800547917535,37.5071114162006,26.7365920605453,24.9996412723337
133,149.995227705425,144.585444453989,133.435849607953,116.727701909534,87.9477915527576,78.6077416304719,55.2791514257214,37.5083191262381,26.7366562712555,24.9989331085862
134,149.996457043748,144.580992095076,133.430779890281,116.729000653177,87.9496354346713,78.6080085794244,55.2813685784564,37.50945247077,26.7364746474075,25.0002274786382
135,149.994683084706,144.583398395243,133.435444286022,116.730109139406,87.9553954491857,78.6086437799508,55.2831616850159,37.5100484408265,26.738672670021,25.0010254695768
136,149.994541028381,144.580604957576,133.582153680307,119.302241728906,86.0137300227159,79.0799808037873,54.2988631764494,37.4595870965566,26.738322886389,24.9992344148404
137,150.005539383115,144.61574840555,134.153871997478,120.863919616601,85.0122402710636,78.5251164356709,53.701736859428,37.2524705652883,26.725666977941,24.9998309194788
138,150.00119556881,144.699175609798,134.76235535313,121.943069587999,84.3300199469157,77.8553539191197,53.2125475419624,37.0282580860682,26.7002497526899,25.0006228993227
139,150.000747903028,144.788636651558,135.285981759318,122.774705830846,83.7729786486343,77.2367504540749,52.7599511675635,36.818910165351,26.6699594845802,24.9988479612166
140,149.994674321973,144.898246821089,135.734995724195,123.410344609445,83.2879100152709,76.6877783555658,52.3448114025823,36.6210756410391,26.6419960002862,25.0011158124745
141,150.005295466766,145.008792863701,136.102490236969,123.911622797077,82.8642705408383,76.1991734231559,51.9695877845972,36.4391261002337,26.614630063344,25.0006591833092
142,150.001830826972,145.118678944865,136.406576559055,124.298627639428,82.4771076179767,75.7647231977207,51.6268376325243,36.2728901799439,26.5891107062494,25.0001470513763
143,149.997764285713,145.226090097763,136.663800179871,124.621139926697,82.1287657958392,75.3763065558577,51.3185036311089,36.1215445679825,26.5668999230878,24.9992096073612
144,150.000198743098,145.319605699486,136.8655957846,124.869364582916,81.812783100542,75.0224789196907,51.0387054507038,35.9821831033994,26.5468143913218,24.9999948720375
145,149.998527120506,145.394961470078,137.04121283029,125.065475469733,81.5180836636837,74.7072521085582,50.7858417252775,35.8554681257591,26.5273736444536,25.0000446140006
146,149.993639500375,145.478081630179,137.184214846826,125.218063850418,81.2537093563679,74.417447961424,50.5555029634435,35.7425606692062,26.509652029231,25.0012356075266
147,149.996098742303,145.550291227171,137.316927528478,125.3381864904,81.011980498474,74.1441476715826,50.3483785536127,35.6392972324577,26.4934753678317,25.0008871292077
148,149.994349784023,145.611519182846,137.414024165677,125.429165303614,80.784721251735,73.903785756074,50.1581845559459,35.5476360455347,26.4786338344968,25.0011560098493
149,149.995258616824,145.670767758909,137.495818529675,125.497814077768,80.5703963048718,73.6760525599766,49.9899656648747,35.4614510210541,26.466083141349,25.0004473525224
150,149.996099287885,145.719533433116,137.567719887057,125.556000646798,80.3760355933906,73.4745271036288,49.8292008745196,35.3844881424695,26.4548439017495,24.999758753472
151,149.998759006036,145.757798483609,137.623975329497,125.593907526036,80.1952568902348,73.2849898043664,49.6901454195293,35.314261674821,26.4439893444459,25.0010874477154
152,149.993244816455,145.797518158986,137.672658846428,125.622292161096,80.0268152695794,73.101701171835,49.5564832375889,35.248822135583,26.4336000397769,24.9999487113641
153,150.006040741649,145.824187708447,137.709781201725,125.653963179893,79.8740060140823,72.9445684320251,49.4346567808584,35.1908429628494,26.4250179614202,24.9993294790292
154,150.006671807846,145.866614681326,137.743358688438,125.658522910814,79.7304096835688,72.7862171886639,49.3258568489197,35.1373738553727,26.4164848784155,24.9997407256213
155,149.999862961387,145.879037015017,137.765466107795,125.664757958817,79.5953204463428,72.6502491261081,49.2263889814695,35.086823174142,26.4075358388327,25.0005126936878
156,149.999838789576,145.898963307365,137.791452523892,125.6664352551,79.4672279647798,72.5200658550471,49.1332584872562,35.043113062239,26.4015964457663,25.0001463975864
157,149.997565791147,145.920544982499,137.795725627549,125.665190009898,79.3456695895988,72.3964302348012,49.0458408227851,35.0020608658699,26.39479718557,25.0006415767522
